,0,1,2
0,0,0,1
1,1,0,0
2,1,0,0
3,0,0,1
4,0,0,1
5,1,0,0
6,1,0,0
7,0,0,1
8,0,0,1
9,0,0,1
10,0,1,0
11,0,0,1
12,0,0,1
13,0,0,1
14,0,1,0
15,0,0,1
16,1,0,0
17,0,0,1
18,0,1,0
19,0,1,0
20,0,0,1
21,0,0,1
22,1,0,0
23,1,0,0
24,0,0,1
25,1,0,0
26,0,0,1
27,0,0,1
28,0,0,1
29,0,0,1
30,0,1,0
31,0,0,1
32,1,0,0
33,1,0,0
34,0,0,1
35,0,1,0
36,1,0,0
37,0,0,1
38,1,0,0
39,0,1,0
40,0,1,0
41,0,1,0
42,0,0,1
43,0,1,0
44,0,0,1
45,0,1,0
46,0,1,0
47,1,0,0
48,0,0,1
49,1,0,0
50,0,0,1
51,0,0,1
52,1,0,0
53,0,0,1
54,0,1,0
55,1,0,0
56,0,1,0
57,1,0,0
58,0,0,1
59,0,1,0
60,0,1,0
61,0,0,1
62,0,0,1
63,0,0,1
64,0,1,0
65,0,1,0
66,0,0,1
67,1,0,0
68,0,0,1
69,1,0,0
70,1,0,0
71,0,0,1
72,1,0,0
73,0,1,0
74,1,0,0
75,0,0,1
76,0,0,1
77,1,0,0
78,1,0,0
79,1,0,0
80,0,0,1
81,0,0,1
82,1,0,0
83,0,0,1
84,1,0,0
85,0,1,0
86,1,0,0
87,1,0,0
88,0,0,1
89,0,0,1
90,0,0,1
91,1,0,0
92,0,0,1
93,1,0,0
94,0,1,0
95,0,1,0
96,1,0,0
97,1,0,0
98,1,0,0
99,0,0,1
100,0,0,1
101,0,0,1
102,0,0,1
103,0,0,1
104,0,1,0
105,0,0,1
106,0,1,0
107,0,0,1
108,0,0,1
109,0,1,0
110,0,0,1
111,1,0,0
112,1,0,0
113,0,0,1
114,0,0,1
115,1,0,0
116,0,1,0
117,1,0,0
118,0,0,1
119,0,0,1
120,1,0,0
121,0,1,0
122,0,1,0
123,1,0,0
124,0,0,1
125,0,0,1
126,0,1,0
127,1,0,0
128,0,0,1
129,0,1,0
130,0,0,1
131,0,1,0
132,1,0,0
133,1,0,0
134,1,0,0
135,0,1,0
136,0,1,0
137,1,0,0
138,0,0,1
139,0,1,0
140,1,0,0
141,0,1,0
142,0,0,1
143,1,0,0
144,0,0,1
145,0,1,0
146,1,0,0
147,1,0,0
148,0,1,0
149,0,0,1
150,0,0,1
151,1,0,0
152,0,0,1
153,0,0,1
154,0,1,0
155,1,0,0
156,1,0,0
157,0,1,0
158,0,1,0
159,0,0,1
160,0,1,0
161,0,1,0
162,0,0,1
163,1,0,0
164,0,0,1
165,1,0,0
166,0,0,1
167,0,0,1
168,1,0,0
169,0,0,1
170,0,1,0
171,0,1,0
172,0,1,0
173,0,1,0
174,0,0,1
175,0,0,1
176,0,1,0
177,0,0,1
178,0,1,0
179,0,0,1
180,1,0,0
181,0,0,1
182,0,0,1
183,0,1,0
184,0,0,1
185,0,1,0
186,0,1,0
187,1,0,0
188,0,1,0
189,1,0,0
190,0,1,0
191,0,0,1
192,0,0,1
193,0,0,1
194,0,1,0
195,1,0,0
196,0,1,0
197,0,0,1
198,0,1,0
199,0,1,0
200,1,0,0
201,0,0,1
202,0,0,1
203,1,0,0
204,0,0,1
205,1,0,0
206,0,1,0
207,1,0,0
208,0,0,1
209,0,0,1
210,0,1,0
211,0,0,1
212,0,1,0
213,0,0,1
214,0,0,1
215,1,0,0
216,1,0,0
217,1,0,0
218,0,0,1
219,0,0,1
220,1,0,0
221,0,1,0
222,0,1,0
223,1,0,0
224,0,0,1
225,0,1,0
226,0,0,1
227,1,0,0
228,0,0,1
229,1,0,0
230,0,0,1
231,0,1,0
232,0,0,1
233,0,0,1
234,1,0,0
235,1,0,0
236,1,0,0
237,0,1,0
238,0,1,0
239,0,0,1
240,1,0,0
241,1,0,0
242,0,0,1
243,0,0,1
244,1,0,0
245,0,0,1
246,0,0,1
247,0,1,0
248,0,1,0
249,1,0,0
250,1,0,0
251,1,0,0
252,0,0,1
253,0,1,0
254,0,0,1
255,0,0,1
256,1,0,0
257,0,1,0
258,0,1,0
259,0,1,0
260,0,1,0
261,1,0,0
262,0,0,1
263,1,0,0
264,0,0,1
265,0,1,0
266,0,0,1
267,1,0,0
268,0,0,1
269,1,0,0
270,1,0,0
271,1,0,0
272,0,0,1
273,0,0,1
274,0,0,1
275,0,0,1
276,1,0,0
277,1,0,0
278,0,0,1
279,0,1,0
280,1,0,0
281,0,0,1
282,0,1,0
283,0,0,1
284,1,0,0
285,0,1,0
286,1,0,0
287,0,0,1
288,0,0,1
289,1,0,0
290,0,0,1
291,0,0,1
292,0,0,1
293,1,0,0
294,0,0,1
295,0,0,1
296,0,0,1
297,0,0,1
298,0,0,1
299,0,0,1
300,0,1,0
301,0,1,0
302,0,1,0
303,0,0,1
304,0,1,0
305,1,0,0
306,0,0,1
307,1,0,0
308,0,0,1
309,0,1,0
310,0,1,0
311,0,0,1
312,1,0,0
313,0,0,1
314,0,1,0
315,0,0,1
316,1,0,0
317,0,1,0
318,0,0,1
319,0,0,1
320,1,0,0
321,1,0,0
322,0,0,1
323,0,1,0
324,1,0,0
325,0,0,1
326,0,0,1
327,0,0,1
328,0,0,1
329,0,0,1
330,0,0,1
331,0,1,0
332,0,1,0
333,0,1,0
334,0,1,0
335,0,0,1
336,0,0,1
337,0,1,0
338,0,0,1
339,1,0,0
340,1,0,0
341,0,0,1
342,0,0,1
343,0,1,0
344,1,0,0
345,1,0,0
346,0,0,1
347,0,0,1
348,1,0,0
349,0,0,1
350,0,0,1
351,0,1,0
352,0,0,1
353,0,1,0
354,0,0,1
355,1,0,0
356,0,1,0
357,0,0,1
358,0,1,0
359,0,0,1
360,0,1,0
361,1,0,0
362,0,0,1
363,0,0,1
364,1,0,0
365,0,0,1
366,1,0,0
367,0,0,1
368,0,0,1
369,0,0,1
370,0,0,1
371,0,0,1
372,0,0,1
373,1,0,0
374,0,0,1
375,1,0,0
376,0,1,0
377,0,0,1
378,0,1,0
379,1,0,0
380,1,0,0
381,0,1,0
382,1,0,0
383,1,0,0
384,0,1,0
385,0,0,1
386,1,0,0
387,0,0,1
388,0,0,1
389,1,0,0
390,0,0,1
391,1,0,0
392,0,0,1
393,1,0,0
394,1,0,0
395,0,0,1
396,0,0,1
397,0,1,0
398,0,0,1
399,1,0,0
400,0,0,1
401,1,0,0
402,0,0,1
403,0,1,0
404,1,0,0
405,1,0,0
406,1,0,0
407,0,0,1
408,0,1,0
409,0,0,1
410,0,0,1
411,0,0,1
412,1,0,0
413,1,0,0
414,0,1,0
415,0,0,1
416,0,1,0
417,0,0,1
418,1,0,0
419,1,0,0
420,0,1,0
421,0,0,1
422,0,0,1
423,0,1,0
424,0,0,1
425,0,0,1
426,1,0,0
427,0,1,0
428,1,0,0
429,0,1,0
430,0,0,1
431,1,0,0
432,1,0,0
433,0,0,1
434,0,1,0
435,0,0,1
436,0,0,1
437,0,0,1
438,0,1,0
439,0,1,0
440,1,0,0
441,1,0,0
442,1,0,0
443,1,0,0
444,1,0,0
445,1,0,0
446,0,0,1
447,0,0,1
448,0,1,0
449,1,0,0
450,1,0,0
451,1,0,0
452,1,0,0
453,0,1,0
454,0,0,1
455,1,0,0
456,1,0,0
457,1,0,0
458,0,0,1
459,1,0,0
460,1,0,0
461,0,0,1
462,0,1,0
463,1,0,0
464,1,0,0
465,0,1,0
466,0,1,0
467,1,0,0
468,0,1,0
469,0,1,0
470,1,0,0
471,0,0,1
472,0,1,0
473,1,0,0
474,1,0,0
475,1,0,0
476,0,0,1
477,1,0,0
478,0,1,0
479,0,0,1
480,1,0,0
481,1,0,0
482,0,0,1
483,0,0,1
484,0,0,1
485,1,0,0
486,0,0,1
487,1,0,0
488,1,0,0
489,0,0,1
490,1,0,0
491,1,0,0
492,1,0,0
493,1,0,0
494,0,1,0
495,1,0,0
496,1,0,0
497,0,1,0
498,0,0,1
499,1,0,0
500,1,0,0
501,0,1,0
502,0,1,0
503,1,0,0
504,1,0,0
505,1,0,0
506,0,1,0
507,1,0,0
508,0,0,1
509,0,0,1
510,1,0,0
511,0,0,1
512,1,0,0
513,1,0,0
514,0,0,1
515,1,0,0
516,0,1,0
517,1,0,0
518,1,0,0
519,0,1,0
520,1,0,0
521,0,0,1
522,0,0,1
523,0,1,0
524,0,0,1
525,1,0,0
526,1,0,0
527,0,0,1
528,1,0,0
529,0,0,1
530,1,0,0
531,1,0,0
532,1,0,0
533,0,1,0
534,0,1,0
535,1,0,0
536,1,0,0
537,0,0,1
538,1,0,0
539,1,0,0
540,0,1,0
541,1,0,0
542,0,0,1
543,0,0,1
544,0,1,0
545,0,1,0
546,0,1,0
547,0,0,1
548,1,0,0
549,1,0,0
550,1,0,0
551,1,0,0
552,1,0,0
553,0,1,0
554,0,0,1
555,0,0,1
556,0,0,1
557,0,1,0
558,0,0,1
559,0,1,0
560,0,1,0
561,0,1,0
562,0,0,1
563,1,0,0
564,1,0,0
565,0,1,0
566,0,0,1
567,1,0,0
568,0,1,0
569,0,0,1
570,0,1,0
571,1,0,0
572,0,0,1
573,0,1,0
574,1,0,0
575,1,0,0
576,1,0,0
577,0,0,1
578,0,0,1
579,0,0,1
580,1,0,0
581,1,0,0
582,0,1,0
583,0,1,0
584,1,0,0
585,1,0,0
586,0,0,1
587,1,0,0
588,0,0,1
589,1,0,0
590,0,0,1
591,1,0,0
592,0,0,1
593,0,0,1
594,1,0,0
595,0,0,1
596,1,0,0
597,1,0,0
598,1,0,0
599,1,0,0
600,0,1,0
601,1,0,0
602,1,0,0
603,0,1,0
604,0,0,1
605,0,0,1
606,0,0,1
607,0,0,1
608,0,1,0
609,0,1,0
610,0,0,1
611,1,0,0
612,1,0,0
613,0,0,1
614,0,0,1
615,1,0,0
616,1,0,0
617,1,0,0
618,0,1,0
619,0,0,1
620,1,0,0
621,0,0,1
622,0,0,1
623,0,0,1
624,1,0,0
625,0,1,0
626,0,0,1
627,0,0,1
628,0,1,0
629,0,1,0
630,0,0,1
631,0,1,0
632,1,0,0
633,0,1,0
634,0,1,0
635,1,0,0
636,0,1,0
637,1,0,0
638,0,0,1
639,1,0,0
640,0,0,1
641,0,1,0
642,0,0,1
643,1,0,0
644,0,0,1
645,0,1,0
646,0,0,1
647,1,0,0
648,1,0,0
649,0,1,0
650,1,0,0
651,1,0,0
652,0,0,1
653,1,0,0
654,1,0,0
655,1,0,0
656,0,0,1
657,0,0,1
658,1,0,0
659,0,1,0
660,0,0,1
661,0,0,1
662,0,0,1
663,0,1,0
664,0,0,1
665,1,0,0
666,1,0,0
667,1,0,0
668,0,1,0
669,1,0,0
670,0,0,1
671,0,1,0
672,1,0,0
673,0,0,1
674,0,0,1
675,0,0,1
676,1,0,0
677,1,0,0
678,1,0,0
679,0,1,0
680,1,0,0
681,1,0,0
682,1,0,0
683,0,0,1
684,0,1,0
685,0,1,0
686,1,0,0
687,1,0,0
688,1,0,0
689,0,1,0
690,1,0,0
691,1,0,0
692,0,0,1
693,1,0,0
694,0,1,0
695,0,1,0
696,1,0,0
697,1,0,0
698,0,0,1
699,0,1,0
700,1,0,0
701,1,0,0
702,0,0,1
703,1,0,0
704,1,0,0
705,1,0,0
706,1,0,0
707,0,1,0
708,1,0,0
709,1,0,0
710,0,0,1
711,0,1,0
712,0,1,0
713,0,0,1
714,0,0,1
715,1,0,0
716,0,0,1
717,0,1,0
718,1,0,0
719,1,0,0
720,0,0,1
721,1,0,0
722,1,0,0
723,0,0,1
724,0,0,1
725,1,0,0
726,1,0,0
727,0,0,1
728,0,1,0
729,1,0,0
730,1,0,0
731,0,0,1
732,1,0,0
733,1,0,0
734,1,0,0
735,1,0,0
736,1,0,0
737,0,1,0
738,0,1,0
739,1,0,0
740,0,1,0
741,0,0,1
742,0,0,1
743,1,0,0
744,0,0,1
745,0,1,0
746,1,0,0
747,1,0,0
748,0,0,1
749,1,0,0
750,1,0,0
751,1,0,0
752,1,0,0
753,0,0,1
754,0,1,0
755,0,1,0
756,0,1,0
757,0,0,1
758,1,0,0
759,0,0,1
760,0,0,1
761,1,0,0
762,0,0,1
763,1,0,0
764,1,0,0
765,0,0,1
766,0,0,1
767,1,0,0
768,1,0,0
769,1,0,0
770,0,0,1
771,1,0,0
772,0,1,0
773,1,0,0
774,0,0,1
775,1,0,0
776,1,0,0
777,0,0,1
778,0,1,0
779,1,0,0
780,0,0,1
781,1,0,0
782,0,1,0
783,1,0,0
784,0,1,0
785,0,0,1
786,0,0,1
787,0,1,0
788,0,0,1
789,0,0,1
790,1,0,0
791,1,0,0
792,1,0,0
793,0,0,1
794,0,0,1
795,1,0,0
796,1,0,0
797,0,1,0
798,1,0,0
799,0,0,1
800,1,0,0
801,1,0,0
802,1,0,0
803,0,1,0
804,0,1,0
805,1,0,0
806,0,1,0
807,1,0,0
808,0,0,1
809,0,1,0
810,1,0,0
811,1,0,0
812,1,0,0
813,1,0,0
814,0,1,0
815,1,0,0
816,0,1,0
817,0,0,1
818,1,0,0
819,1,0,0
820,0,1,0
821,0,0,1
822,0,1,0
823,0,0,1
824,0,0,1
825,0,0,1
826,1,0,0
827,0,1,0
828,0,0,1
829,1,0,0
830,1,0,0
831,0,0,1
832,1,0,0
833,1,0,0
834,0,1,0
835,0,0,1
836,0,0,1
837,1,0,0
838,0,1,0
839,0,0,1
840,1,0,0
841,0,0,1
842,0,0,1
843,0,1,0
844,0,0,1
845,0,0,1
846,1,0,0
847,0,1,0
848,0,0,1
849,0,1,0
850,0,1,0
851,0,0,1
852,1,0,0
853,1,0,0
854,0,1,0
855,0,1,0
856,0,0,1
857,0,0,1
858,0,1,0
859,1,0,0
860,0,0,1
861,0,0,1
862,1,0,0
863,0,1,0
864,0,0,1
865,1,0,0
866,0,0,1
867,0,0,1
868,1,0,0
869,0,0,1
870,0,0,1
871,1,0,0
872,1,0,0
873,1,0,0
874,1,0,0
875,1,0,0
876,1,0,0
877,0,1,0
878,0,0,1
879,0,0,1
880,0,1,0
