,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,417,383,206,206,14,9,47,55,9,14,5,4,56,62,2,73,2,4,3,1
1,539,369,227,227,11,11,52,35,11,5,1,6,88,80,1,63,2,1,0,1
2,501,395,217,217,7,11,51,45,8,18,3,5,95,69,77,12,3,1,2,0
3,254,715,198,198,6,3,31,37,2,21,11,1,91,68,58,6,1,0,1,1
4,424,445,217,217,11,6,41,49,5,7,1,3,74,68,66,0,1,1,2,5
5,392,547,216,216,11,10,43,40,16,6,2,9,56,82,0,62,1,0,0,2
6,585,236,199,199,12,10,50,46,11,7,3,3,83,57,0,72,1,0,2,4
7,524,411,252,252,12,9,42,31,24,7,5,11,74,71,0,46,1,4,1,5
8,246,441,227,227,14,9,41,57,17,13,9,9,53,67,68,4,0,1,3,2
9,341,448,184,184,12,10,40,40,13,15,4,8,47,55,52,0,0,1,1,5
10,442,572,256,256,13,13,34,54,7,16,6,2,82,45,62,0,0,0,1,2
11,290,831,170,170,7,5,36,38,6,18,7,3,82,93,59,0,0,1,2,1
12,290,549,233,233,8,11,41,56,13,10,6,3,85,81,74,1,0,0,1,4
13,447,315,229,229,14,8,51,42,13,16,10,7,76,67,0,68,2,1,1,6
14,817,189,261,261,7,10,52,33,21,2,2,6,76,123,1,66,0,2,2,0
15,380,332,286,286,7,15,61,45,11,12,8,3,51,72,13,81,0,5,2,0
16,663,359,160,160,6,8,27,33,14,5,2,8,100,57,0,49,2,1,0,0
17,751,335,226,226,9,14,50,43,10,10,4,7,66,74,0,71,1,2,0,2
18,714,146,217,217,9,6,55,49,14,5,3,2,107,110,0,90,1,3,1,1
19,388,331,281,281,14,13,54,50,6,8,5,2,66,48,1,72,0,6,2,4
20,427,344,240,240,12,12,53,54,12,11,6,3,58,72,1,81,1,1,1,3
21,409,354,233,233,9,9,48,53,12,13,3,3,81,56,80,0,1,4,1,2
22,376,572,260,260,11,12,40,48,10,9,2,8,62,69,59,34,0,6,5,3
23,189,602,217,217,14,13,34,53,7,15,5,2,98,80,62,4,0,2,2,0
24,252,383,249,249,21,13,49,59,5,14,2,1,57,59,3,75,0,2,2,2
25,287,667,228,228,5,3,37,39,11,14,3,5,62,88,66,1,2,0,1,2
26,322,548,209,209,10,11,50,52,11,12,3,5,55,64,76,0,0,0,3,3
27,421,621,214,214,7,12,37,44,8,14,3,4,82,62,0,59,2,1,1,2
28,260,860,181,181,5,11,42,34,1,18,9,1,69,89,56,0,0,0,4,1
29,565,553,231,231,14,9,38,39,10,8,2,4,74,84,51,1,1,3,1,4
30,308,403,265,265,5,17,55,41,9,8,3,3,71,73,68,0,1,4,4,3
31,381,403,211,211,10,13,42,40,6,13,9,1,87,65,1,61,2,2,0,1
32,408,452,254,254,8,10,46,62,6,9,1,4,77,82,87,1,2,0,3,1
33,331,562,250,250,14,8,56,56,10,14,2,2,65,104,90,0,1,0,2,0
34,496,332,234,234,11,14,55,39,13,14,6,7,57,77,68,0,1,4,2,1
35,211,611,230,230,15,5,47,69,4,18,2,1,97,87,91,3,2,0,2,2
36,469,360,321,321,10,12,49,51,7,8,2,1,79,73,0,76,1,2,4,1
37,183,1008,174,174,8,8,32,28,3,17,11,1,53,64,24,24,1,0,1,2
38,601,280,186,186,12,9,42,49,19,10,4,9,90,56,0,72,1,1,1,1
39,315,430,252,252,17,5,49,55,8,13,6,4,62,55,82,0,4,5,2,0
40,333,313,290,290,17,16,43,47,12,5,1,5,44,62,0,62,1,1,0,1
41,334,556,224,224,12,6,47,38,11,8,3,5,61,87,65,2,0,0,1,1
42,366,596,242,242,9,11,40,39,5,15,6,2,48,76,57,1,2,2,3,1
43,437,370,231,231,10,10,53,61,9,7,3,2,103,67,2,87,0,3,3,2
44,423,546,252,252,9,8,41,45,7,12,6,2,77,80,65,0,2,0,1,3
45,348,624,260,260,6,4,41,39,7,12,6,5,65,73,72,0,3,2,0,0
46,257,442,285,285,22,16,44,67,10,14,8,6,67,58,66,0,4,2,3,5
47,288,730,193,193,13,8,44,38,10,12,4,4,71,78,55,1,2,1,1,4
48,682,230,267,267,9,12,45,43,13,7,4,3,65,74,62,3,0,2,2,1
49,502,443,190,190,14,12,48,42,14,8,3,7,70,59,61,1,1,0,0,5
50,359,616,207,207,9,9,48,35,7,19,8,1,70,93,56,1,4,2,4,4
51,428,257,231,231,10,9,55,52,13,8,3,6,61,63,87,1,0,6,1,0
52,348,326,218,218,13,15,50,60,15,9,4,9,62,44,0,79,4,1,3,2
53,393,356,227,227,9,9,53,55,4,7,1,1,66,72,88,0,1,3,1,2
54,405,430,273,273,11,10,39,54,10,15,6,4,61,52,11,67,2,1,0,1
55,502,360,232,232,15,13,53,52,17,9,6,5,54,70,0,75,1,3,2,2
56,385,573,240,240,10,7,44,45,4,23,6,2,49,98,68,0,0,1,2,2
57,685,353,200,200,13,8,47,42,11,13,8,7,70,59,17,67,5,2,1,2
58,570,289,207,207,19,9,47,51,16,5,4,6,58,49,0,71,1,2,0,2
59,443,468,201,201,10,9,39,53,13,17,5,7,84,66,71,3,4,1,1,3
60,323,492,291,291,13,7,52,48,12,14,5,6,62,59,5,68,1,1,3,3
61,507,229,236,236,8,15,54,52,7,7,4,1,57,61,1,78,1,5,3,3
62,262,524,239,239,22,10,51,52,8,12,4,4,48,56,72,0,1,4,2,3
63,419,265,206,206,18,12,55,48,13,6,4,7,39,62,68,0,2,7,3,2
64,413,477,199,199,7,14,52,46,7,16,3,1,71,66,75,0,2,2,1,6
65,315,543,237,237,12,7,49,55,6,10,4,1,93,79,0,80,1,1,4,1
66,459,514,232,232,4,10,47,43,14,11,7,5,71,85,69,3,0,3,4,2
67,627,237,208,208,9,14,45,46,20,5,2,11,88,55,1,65,6,3,3,3
68,182,940,161,161,10,8,42,43,5,18,5,3,43,98,63,1,0,1,2,3
69,352,385,244,244,9,18,64,49,11,8,0,5,62,52,0,87,3,1,1,0
70,424,378,233,233,13,12,50,54,6,12,4,4,106,49,8,72,1,2,1,6
71,363,731,186,186,13,6,43,38,3,11,5,2,57,54,55,2,1,0,1,6
72,563,307,250,250,11,11,48,50,15,4,0,3,61,69,5,69,0,3,3,1
73,405,402,253,253,17,6,43,49,16,11,7,5,54,67,1,61,1,3,3,4
74,440,399,251,251,10,12,49,42,10,9,3,4,63,73,1,66,2,0,2,2
75,297,661,239,239,6,8,42,48,5,15,6,4,77,100,74,0,0,0,1,1
76,413,549,201,201,4,5,37,42,4,12,10,1,56,71,61,0,0,1,3,6
77,554,353,236,236,6,10,46,36,12,10,6,5,83,44,65,0,0,3,1,1
78,341,437,279,279,12,11,57,63,15,6,2,6,84,95,0,94,0,0,2,1
79,430,301,221,221,11,13,46,32,15,10,4,9,68,66,51,2,1,0,3,0
80,216,823,187,187,7,7,51,41,3,15,6,1,39,69,71,1,0,1,2,5
81,304,536,266,266,9,8,44,44,12,13,8,3,49,79,66,0,2,0,0,3
82,480,305,192,192,13,9,43,61,10,8,4,7,74,52,8,69,2,0,5,3
83,336,577,250,250,10,9,39,58,6,24,10,2,102,92,77,0,1,1,2,2
84,404,281,252,252,10,14,62,45,12,10,4,5,53,71,0,80,1,3,2,1
85,145,698,181,181,11,9,48,60,0,27,4,0,91,48,85,0,7,1,3,2
86,266,481,246,246,10,11,55,68,8,6,2,4,69,61,1,101,5,1,1,1
87,447,337,227,227,7,6,53,56,14,7,2,8,72,67,0,93,3,0,2,1
88,379,363,207,207,13,7,43,48,13,7,4,4,55,69,1,67,2,2,1,3
89,570,253,238,238,16,10,49,46,14,4,2,3,43,90,0,68,0,3,0,3
90,249,624,257,257,11,9,37,53,9,14,8,5,80,45,70,0,2,1,2,2
91,958,366,149,149,9,9,35,42,13,3,0,3,81,69,4,54,0,2,2,1
92,580,265,209,209,13,14,57,39,13,13,8,7,106,73,0,65,1,4,0,6
93,742,285,237,237,7,9,41,45,14,6,2,3,65,57,2,66,1,3,4,1
94,425,339,265,265,12,7,59,50,18,7,3,7,64,91,0,86,0,8,3,2
95,204,412,233,233,15,8,47,73,12,17,7,3,98,36,0,94,3,3,1,3
96,398,507,240,240,9,13,53,30,8,7,2,8,44,63,0,57,1,0,0,6
97,785,256,238,238,6,8,50,32,14,3,3,7,53,69,0,62,1,1,4,2
98,386,334,272,272,11,12,45,55,14,8,2,4,73,67,72,1,6,2,3,1
99,325,395,290,290,12,9,48,67,10,21,10,4,74,56,0,92,0,5,1,3
100,515,616,226,226,11,11,47,43,8,9,5,5,65,86,67,0,0,2,0,1
101,527,414,243,243,12,13,37,38,13,8,4,6,92,73,0,44,4,0,6,1
102,181,645,231,231,12,5,49,63,4,11,5,3,75,93,91,1,3,1,0,1
103,334,392,291,291,10,12,54,52,4,12,5,3,92,61,85,0,2,1,1,0
104,544,307,290,290,12,12,61,41,17,12,3,5,67,76,1,77,0,1,0,3
105,402,385,205,205,6,17,60,32,11,14,5,3,76,64,0,65,1,1,0,3
106,350,365,288,288,9,14,60,50,9,12,6,3,62,81,82,87,0,4,1,0
107,315,711,199,199,7,7,45,40,7,19,14,3,54,62,67,0,1,0,2,2
108,379,327,296,296,11,9,54,55,11,14,7,3,63,58,2,78,0,4,7,5
109,444,209,306,306,10,16,64,53,18,5,2,8,53,85,0,90,3,3,0,2
110,396,547,269,269,10,11,38,46,7,17,8,1,48,72,59,0,0,2,3,1
111,474,526,228,228,9,5,45,49,15,6,4,4,63,88,0,76,2,0,0,4
112,334,605,235,235,12,15,36,64,9,12,7,3,99,57,0,73,3,0,2,2
113,399,412,247,247,13,12,62,49,7,12,5,3,72,71,0,81,2,1,5,3
114,249,685,210,210,12,11,34,46,2,18,12,2,68,67,56,2,2,1,2,1
115,373,317,246,246,14,15,54,53,8,13,4,5,61,61,0,75,1,2,2,1
116,458,325,260,260,6,10,73,44,15,14,6,4,84,114,0,97,0,1,1,3
117,450,318,231,231,10,9,45,44,12,12,2,4,73,54,0,69,3,3,2,0
118,421,223,261,261,7,11,50,50,8,7,6,4,53,78,1,77,2,4,1,3
119,488,488,218,218,10,13,39,52,6,15,8,1,71,55,62,0,2,0,6,2
120,387,480,228,228,12,9,41,36,19,6,3,8,39,51,56,0,1,2,1,1
121,294,570,186,186,16,9,35,52,8,10,5,3,103,59,12,45,3,3,2,4
122,408,330,254,254,11,8,56,55,19,10,7,6,61,70,4,84,2,3,4,3
123,523,355,225,225,8,8,38,45,14,11,2,7,84,50,1,63,4,1,1,3
124,317,392,304,304,20,14,46,71,13,11,7,4,59,70,75,2,2,0,6,2
125,355,441,217,217,8,12,53,59,3,23,6,1,58,59,0,88,1,0,3,3
126,519,324,241,241,9,8,47,52,13,3,1,4,60,76,36,42,0,2,5,0
127,765,268,230,230,5,19,51,27,16,2,0,7,64,66,0,51,0,2,4,0
128,287,499,240,240,12,11,47,54,6,11,5,3,54,79,76,0,3,2,1,2
129,251,672,187,187,9,5,40,55,7,18,6,3,74,108,81,0,0,0,1,0
130,217,669,191,191,11,10,39,38,3,17,11,1,64,64,57,2,2,1,0,0
131,251,269,282,282,14,12,52,60,9,11,3,4,59,48,85,0,2,4,5,0
132,501,450,255,255,10,13,48,45,22,6,3,7,52,52,3,58,1,0,1,8
133,317,578,236,236,12,5,43,54,11,15,5,5,71,43,73,1,0,0,2,4
134,332,431,225,225,10,10,48,65,11,6,2,4,93,52,0,92,2,5,3,0
135,326,373,308,308,14,16,66,53,11,13,5,3,47,76,90,1,2,4,0,2
136,252,604,267,267,9,9,40,52,7,17,3,2,58,59,69,2,1,2,4,0
137,901,279,201,201,8,8,43,32,14,3,1,7,45,63,0,55,1,5,2,3
138,889,278,167,167,9,4,35,37,7,11,4,3,55,65,0,56,1,0,4,0
139,287,434,253,253,10,17,49,45,6,8,3,4,55,80,67,3,1,3,2,0
140,264,734,203,203,5,10,47,43,3,19,4,2,74,59,74,0,6,1,1,1
141,313,462,215,215,8,15,49,54,9,12,2,5,70,87,77,0,2,1,2,1
142,158,798,201,201,9,5,39,52,6,18,9,4,90,101,71,3,1,0,2,4
143,760,407,250,250,6,8,26,36,15,9,5,12,90,46,2,46,3,0,3,1
144,408,442,270,270,9,13,50,48,12,12,2,3,61,101,74,2,1,0,1,2
145,462,317,334,334,16,11,56,56,8,15,5,4,59,60,0,86,0,2,0,0
146,407,348,255,255,11,10,47,46,7,8,4,6,69,60,0,64,6,2,5,3
147,277,286,274,274,18,12,52,80,11,6,3,6,62,43,91,0,2,2,10,1
148,374,419,241,241,9,7,55,43,13,9,3,4,51,60,73,2,0,3,5,5
149,353,518,210,210,14,5,38,45,11,11,10,3,56,59,62,0,1,4,3,0
150,356,590,212,212,10,15,41,37,11,17,9,4,44,48,50,0,1,2,0,4
151,349,635,279,279,11,7,32,48,16,11,4,7,66,60,1,57,3,5,3,3
152,514,322,293,293,10,8,44,54,11,13,5,3,84,101,76,1,1,1,4,0
153,343,549,267,267,15,11,43,54,5,20,10,0,63,75,62,3,2,1,7,2
154,392,478,215,215,13,14,44,55,12,15,7,1,65,54,64,1,5,0,3,5
155,281,371,266,266,16,13,51,53,15,7,2,3,62,62,73,1,4,0,0,4
156,291,518,269,269,9,7,51,53,6,8,2,6,64,37,83,1,0,0,5,0
157,459,340,242,242,12,11,60,42,7,10,4,4,53,78,0,79,2,2,0,2
158,433,353,256,256,10,16,64,47,15,8,5,4,44,59,1,85,3,5,0,3
159,429,311,247,247,16,8,48,53,13,14,4,2,65,71,0,73,4,3,1,3
160,244,666,260,260,8,10,48,50,3,28,8,2,88,90,77,0,3,0,3,2
161,577,399,219,219,13,12,44,42,12,17,6,6,43,86,0,57,2,1,2,4
162,293,644,199,199,12,9,44,51,7,11,5,1,55,59,68,0,2,4,4,2
163,452,410,188,188,12,12,51,40,12,10,4,5,54,50,65,0,1,1,1,1
164,244,843,175,175,12,8,41,52,6,14,7,4,57,104,0,70,1,0,3,1
165,316,546,278,278,11,8,58,47,10,9,3,5,61,74,0,85,0,0,0,1
166,353,562,240,240,11,11,41,52,10,21,6,0,77,83,69,1,0,3,1,1
167,341,502,220,220,4,12,45,47,10,18,5,4,64,63,73,0,1,0,1,2
168,462,461,281,281,7,9,53,38,11,6,1,5,62,96,70,0,0,5,4,1
169,448,300,255,255,10,11,49,47,10,13,7,4,55,84,0,74,0,3,2,0
170,358,385,240,240,12,10,45,53,13,22,8,6,84,96,1,75,2,1,2,0
171,624,329,212,212,10,14,46,42,12,9,3,5,64,59,63,0,4,1,2,1
172,182,609,215,215,15,13,44,51,10,11,5,1,67,116,65,0,2,0,4,2
173,478,405,240,240,12,14,49,45,13,7,3,5,112,89,0,66,1,2,1,2
174,461,384,274,274,12,7,43,57,7,17,7,1,62,57,76,0,1,0,5,0
175,437,637,191,191,10,5,31,40,1,18,13,1,63,56,52,0,1,2,2,3
176,262,347,245,245,14,14,59,58,9,3,1,3,52,54,1,85,2,4,3,0
177,336,553,238,238,4,8,49,60,6,17,6,1,79,94,93,0,6,1,3,5
178,495,385,231,231,10,11,46,58,8,11,2,4,62,58,0,80,2,3,2,1
179,467,445,252,252,15,13,44,55,9,9,4,4,72,55,67,0,2,3,3,2
180,630,311,276,276,7,13,52,55,15,15,2,9,67,71,0,84,1,0,3,1
181,197,798,214,214,11,6,46,44,5,19,5,2,47,130,64,1,3,2,4,4
182,464,569,189,189,8,5,40,30,6,20,9,4,69,56,54,0,1,0,0,3
183,314,399,231,231,15,12,59,52,10,22,11,5,69,91,83,1,1,1,2,0
184,323,664,190,190,8,7,37,39,5,23,9,1,60,64,57,0,0,0,2,2
185,332,507,277,277,13,9,43,55,15,15,8,8,69,80,74,0,3,1,2,2
186,220,634,228,228,17,12,37,57,2,21,7,2,105,75,70,0,10,1,1,0
187,331,342,279,279,8,13,60,68,10,8,5,2,79,53,99,0,3,0,4,6
188,324,364,254,254,13,14,62,59,5,13,2,3,82,50,0,92,7,1,1,1
189,469,335,217,217,8,15,43,43,15,16,8,6,71,45,0,62,3,0,1,1
190,424,433,205,205,20,8,46,49,8,17,5,3,49,52,63,0,1,2,0,5
191,322,505,227,227,10,10,48,52,6,15,8,2,50,66,77,0,2,3,5,1
192,378,399,270,270,11,8,64,47,9,14,3,2,57,71,86,0,1,6,0,6
193,213,900,179,179,7,8,41,34,3,15,5,0,69,69,55,0,2,4,2,4
194,360,327,237,237,18,10,56,49,11,9,2,6,79,81,71,1,0,3,3,4
195,322,425,243,243,10,11,50,67,8,16,9,5,82,63,96,0,2,0,0,2
196,567,312,227,227,13,11,42,46,7,11,5,2,108,93,61,3,1,0,1,1
197,418,233,234,234,9,12,54,44,17,9,4,6,60,88,74,0,1,6,4,0
198,320,678,243,243,8,4,32,51,4,24,7,0,97,67,64,1,2,1,2,4
199,472,415,255,255,9,11,53,45,12,14,9,5,62,62,13,71,6,0,3,1
200,415,390,218,218,11,14,50,51,10,7,3,7,47,58,1,76,0,1,1,0
201,483,647,173,173,5,10,52,30,6,19,7,2,58,54,60,1,0,0,2,4
202,426,560,203,203,14,9,43,46,12,8,3,5,87,45,67,1,2,1,1,1
203,422,374,216,216,13,20,52,54,19,6,2,11,56,66,1,67,1,0,4,2
204,414,356,245,245,12,14,53,59,16,13,7,0,50,82,0,86,0,0,0,1
205,740,252,282,282,13,9,47,40,22,10,2,5,78,76,3,60,3,1,1,2
206,462,327,250,250,15,13,60,40,10,11,7,3,57,59,0,70,1,4,2,2
207,530,448,228,228,9,16,58,41,22,5,2,9,68,95,1,70,0,0,3,2
208,418,285,251,251,13,17,66,52,13,13,9,4,55,56,0,82,1,0,4,3
209,435,332,305,305,12,13,51,50,10,12,6,2,71,82,76,1,2,1,0,0
210,702,288,223,223,9,9,46,45,19,5,0,3,57,65,0,71,3,1,0,4
211,418,550,207,207,13,14,45,43,13,7,2,8,78,78,60,0,2,0,0,2
212,696,273,256,256,15,7,46,46,13,6,2,5,82,66,2,66,5,2,1,4
213,231,734,237,237,11,5,38,51,7,23,11,4,69,61,72,1,1,0,1,3
214,203,808,209,209,12,6,43,46,5,20,10,2,45,78,67,0,2,2,3,1
215,406,451,270,270,11,10,41,65,7,13,4,4,70,58,81,0,3,0,3,2
216,346,412,230,230,8,13,59,51,13,9,4,10,48,69,0,85,4,0,1,3
217,759,404,167,167,4,11,41,39,12,6,3,5,34,68,0,54,0,0,9,2
218,339,390,293,293,18,15,58,52,8,13,4,2,59,66,15,76,3,1,0,3
219,322,378,270,270,14,7,56,60,13,8,2,6,67,42,92,0,1,2,2,3
220,568,299,241,241,12,17,53,43,14,7,5,7,66,68,2,66,1,0,0,4
221,159,728,232,232,11,8,40,58,1,24,4,2,79,71,78,0,2,2,0,1
